sample_id,nitrate,nitrite,ammonia,total_nitrogen_mixed_forms,soluble_reactive_phosphorus_srp,total_phosphorus_mixed_forms
W_277,430,20,270,1400,74,77
W_279,270,10,20,670,41,44
W_278,NA,1,10,435,18,25
W_281,86,3,15,455,33,40
W_282,87,3,15,485,29,34
W_283,140,5,10,540,32,36
W_289,NA,NA,10,430,16,25
W_291,NA,1,10,405,23,32
W_298,2,1,15,445,5,14
W_299,9,2,25,455,8,19
W_300,1,NA,15,435,4,14
W_301,1,NA,15,435,7,16
W_302,1,NA,15,410,6,14
W_303,1,NA,10,390,7,14
W_304,1,1,20,395,11,19
W_305,1,1,10,390,10,18
W_462,93,2,10,465,38,41
W_463,79,3,10,460,40,42
W_464,84,2,10,455,36,39
W_468,450,NA,15,980,114,102
W_469,105,2,10,535,40,48
W_470,480,NA,10,1080,123,110
W_471,120,2,10,510,45,51
W_476,76,2,15,465,36,42
W_482,77,2,20,460,35,39
W_483,35,1,35,470,27,33
W_484,22,2,35,455,30,40
W_485,22,5,70,510,21,29
W_486,26,20,35,455,31,34
W_487,21,2,60,540,20,31
W_488,1,NA,30,460,8,20
W_491,5,1,-5,390,10,15
W_489,NA,NA,5,380,1,9
W_490,NA,NA,-5,360,5,11
W_492,NA,NA,-5,355,6,11
W_493,1,NA,10,395,12,18
W_494,1,NA,10,335,3,9
W_495,29,3,25,425,19,23
W_496,2,2,15,445,16,20
W_306,3,2,15,425,21,31
W_307,2,2,15,410,32,32
W_308,NA,2,10,420,26,34
W_309,NA,1,10,410,23,31
W_310,NA,1,10,415,23,31
W_723,27,1,10,415,23,31
W_724,7,1,10,380,22,30
W_311,19,2,15,425,32,40
W_312,37,2,10,430,12,19
W_315,1,NA,10,380,1,8
W_313,NA,1,10,390,1,9
W_507,2,NA,15,365,7,13
W_508,1,1,10,375,11,16
W_509,2,NA,20,365,8,14
W_510,3,NA,10,355,9,14
W_511,1,NA,5,325,NA,7
W_316,31,1,15,405,7,14
W_317,1,NA,15,345,1,7
W_318,NA,NA,-5,350,2,9
W_517,5,NA,30,355,9,13
W_518,4,NA,35,365,18,13
W_519,5,NA,30,365,10,15
W_520,3,NA,25,340,8,12
W_521,2,NA,20,335,8,12
W_729,NA,NA,10,350,11,17
W_319,NA,NA,10,340,NA,6
W_320,NA,NA,-5,350,NA,6
W_321,NA,NA,5,345,1,8
W_322,NA,NA,-5,335,NA,7
W_522,2,1,25,360,8,13
W_523,10,1,25,385,8,15
W_524,17,3,25,395,16,21
W_525,13,3,15,390,10,22
W_730,1,NA,10,360,17,24
W_733,1,NA,5,375,13,20
W_731,NA,1,10,390,16,24
W_732,NA,2,15,360,14,22
W_325,NA,NA,-5,305,NA,7
W_326,NA,NA,5,345,2,11
W_327,NA,NA,10,325,NA,12
W_735,135,1,10,535,35,44
W_736,185,4,25,630,29,40
W_734,NA,1,10,360,10,17
W_330,NA,NA,10,345,NA,8
W_526,10,2,30,445,35,43
W_527,1,2,20,435,24,33
W_741,82,1,10,475,42,51
W_743,270,NA,15,695,40,52
W_331,11,2,20,395,NA,9
W_332,69,2,20,475,NA,10
W_333,5,NA,10,365,1,10
W_334,10,2,20,390,1,11
W_335,NA,1,15,385,4,13
W_337,NA,1,10,380,4,14
W_336,NA,NA,10,380,2,12
W_745,58,1,10,460,27,35
W_746,5,NA,10,395,13,21
W_744,NA,NA,10,380,11,19
W_339,6,2,10,395,24,34
W_338,NA,1,15,405,9,19
W_678,111,2,215,915,0,43
W_679,141,2,40,640,0,46
W_751,40,2,15,420,25,35
W_752,57,2,20,440,30,41
W_753,119,2,20,510,48,60
W_754,130,2,20,525,51,63
W_341,1,NA,15,440,NA,10
W_342,7,2,10,405,1,10
W_343,1,1,15,425,12,22
W_344,NA,1,10,390,NA,9
W_345,NA,2,10,425,27,40
W_755,104,2,20,500,46,57
W_756,136,3,20,535,54,66
W_757,157,3,20,555,59,71
W_758,162,3,25,570,61,73
W_542,270,NA,20,715,80,95
W_760,180,5,20,575,67,77
W_761,169,5,15,555,61,71
W_763,300,10,15,770,107,116
W_764,400,10,20,935,124,134
W_543,200,2,15,595,64,76
W_544,240,NA,15,655,76,90
W_545,300,NA,15,730,90,99
W_412,490,NA,15,985,127,135
W_413,149,2,10,530,49,51
W_414,260,NA,10,670,76,73
W_765,290,10,20,770,89,121
W_766,182,4,15,575,80,91
W_768,168,5,15,560,60,71
W_769,187,6,15,595,70,82
W_415,220,NA,15,620,56,63
W_416,570,NA,15,1320,135,142
W_418,530,NA,15,1250,142,149
W_419,400,20,15,1205,158,168
W_771,250,10,15,715,97,109
W_772,107,5,15,500,34,44
W_774,215,3,15,630,79,91
W_420,108,2,15,470,42,46
W_421,163,2,15,530,50,51
W_422,83,3,15,460,5,50
W_423,310,40,40,915,102,111
W_424,430,10,30,1030,122,NA
W_425,43,3,15,430,2,13
W_617,270,10,10,780,88,103
W_618,250,10,5,730,90,99
W_775,330,NA,40,845,99,111
W_776,320,10,60,830,96,107
W_777,198,4,35,660,92,73
W_426,90,10,15,490,36,42
W_427,90,10,20,495,32,43
W_428,170,10,15,575,37,48
W_430,210,NA,15,595,43,48
W_272,29,3,10,385,32,37
W_273,3,2,10,380,22,27
W_436,212,3,10,580,47,45
W_437,129,4,25,545,36,37
W_439,175,2,5,525,38,39
W_440,204,4,10,600,42,39
W_438,NA,2,5,390,3,10
W_274,23,2,15,400,27,33
W_275,NA,2,15,385,23,28
W_443,73,2,10,445,36,40
W_444,187,1,5,555,46,48
W_445,131,3,10,585,29,41
W_446,150,2,10,500,45,47
W_447,92,2,10,495,25,30
