monitoring_location_id,monitoring_location_name,monitoring_location_latitude,monitoring_location_longitude,monitoring_location_horizontal_coordinate_reference_system,monitoring_location_waterbody,basin
PR-1,Unknown PR-1,50.50924,-96.87344,WGS84,Lake Winnipeg,South basin
PR-2,Unknown PR-2,50.52225,-96.71147,WGS84,Lake Winnipeg,South basin
PR-4,Unknown PR-4,50.73043,-96.64727,WGS84,Lake Winnipeg,South basin
PR-5,Unknown PR-5,50.74778,-96.43483,WGS84,Lake Winnipeg,South basin
PR-7,Unknown PR-7,50.92126,-96.64384,WGS84,Lake Winnipeg,South basin
PR-3,Unknown PR-3,50.72175,-96.88712,WGS84,Lake Winnipeg,South basin
1,South Basin 1,50.38758333,-96.81013889,WGS84,Lake Winnipeg,South basin
2,South Basin 2,50.43230556,-96.83327778,WGS84,Lake Winnipeg,South basin
3B,South Basin 3B,50.44263889,-96.70791667,WGS84,Lake Winnipeg,South basin
59,South Basin 59,50.69716667,-96.7895,WGS84,Lake Winnipeg,South basin
5,South Basin 5,50.67905556,-96.63627778,WGS84,Lake Winnipeg,South basin
60C,South Basin 60C,50.55713889,-96.66577778,WGS84,Lake Winnipeg,South basin
57B,South Basin 57B,50.90380556,-96.96213889,WGS84,Lake Winnipeg,South basin
60B,South Basin 60B,50.63441667,-96.94947222,WGS84,Lake Winnipeg,South basin
57,South Basin 57,50.86705556,-96.80511111,WGS84,Lake Winnipeg,South basin
11,South Basin 11,50.95830556,-96.68366667,WGS84,Lake Winnipeg,South basin
10A,South Basin 10A,51.00827778,-96.50238889,WGS84,Lake Winnipeg,South basin
12B,South Basin 12B,51.13411111,-96.62194444,WGS84,Lake Winnipeg,South basin
13B,Narrows 13B,51.33780556,-96.57891667,WGS84,Lake Winnipeg,South basin
14,Narrows 14,51.442,-96.63358333,WGS84,Lake Winnipeg,South basin
56,Narrows 56,51.60869444,-96.71652778,WGS84,Lake Winnipeg,South basin
15,Narrows 15,51.73366667,-96.82030556,WGS84,Lake Winnipeg,South basin
55,North Basin 55,51.86233333,-96.93708333,WGS84,Lake Winnipeg,North basin
54,North Basin 54,52,-97.04069444,WGS84,Lake Winnipeg,North basin
53,North Basin 53,52.12105556,-97.12816667,WGS84,Lake Winnipeg,North basin
69,North Basin 69,52.00763889,-97.17833333,WGS84,Lake Winnipeg,North basin
68,North Basin 68,52.10383333,-97.41572222,WGS84,Lake Winnipeg,North basin
64,North Basin 64,52.24113889,-97.62811111,WGS84,Lake Winnipeg,North basin
50S,North Basin 50S,52.4835,-97.43736111,WGS84,Lake Winnipeg,North basin
48,North Basin 48,52.64558333,-97.84102778,WGS84,Lake Winnipeg,North basin
43S,North Basin 43S,52.65563889,-98.69344444,WGS84,Lake Winnipeg,North basin
45,North Basin 45,52.63772222,-98.32475,WGS84,Lake Winnipeg,North basin
42S,North Basin 42S,52.82461111,-98.06677778,WGS84,Lake Winnipeg,North basin
41,North Basin 41,52.82916667,-98.45416667,WGS84,Lake Winnipeg,North basin
19,North Basin 19,53.02441667,-97.69922222,WGS84,Lake Winnipeg,North basin
39,North Basin 39,53.07494444,-98.19952778,WGS84,Lake Winnipeg,North basin
20,North Basin 20,53.20025,-97.63252778,WGS84,Lake Winnipeg,North basin
17,North Basin 17,52.88277778,-97.61222222,WGS84,Lake Winnipeg,North basin
62,South Basin 62,50.50947,-96.9425,WGS84,Lake Winnipeg,South basin
61,South Basin 61,50.52467,-96.80404,WGS84,Lake Winnipeg,South basin
60,South Basin 60,50.6136,-96.79186,WGS84,Lake Winnipeg,South basin
37S,South Basin 37S,50.79159,-96.76231,WGS84,Lake Winnipeg,South basin
6,South Basin 6,50.75821,-96.59155,WGS84,Lake Winnipeg,South basin
8,South Basin 8,50.74504,-96.47544,WGS84,Lake Winnipeg,South basin
7,South Basin 7,50.64929,-96.37999,WGS84,Lake Winnipeg,South basin
9,South Basin 9,50.87873,-96.42493,WGS84,Lake Winnipeg,South basin
10S,Narrows 10S,50.87566,-96.58373,WGS84,Lake Winnipeg,South basin
16S,Narrows 16S,52.2665,-97.192,WGS84,Lake Winnipeg,North basin
18,North Basin 18,52.6841,-97.5008,WGS84,Lake Winnipeg,North basin
20S,North Basin 20S,53.22506,-97.93446,WGS84,Lake Winnipeg,North basin
